Sr.,Year,Institute,Program,Duration,Degree,Category,Pool,Opening,Closing
1593,2022,IIT-Gandhinagar,Materials Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,8826,8826
1594,2022,IIT-Gandhinagar,Materials Engineering,4 Years,B.Tech,SC,Gender-Neutral,2574,2697
1595,2022,IIT-Gandhinagar,Materials Engineering,4 Years,B.Tech,SC,Female-Only,3634,3634
1596,2022,IIT-Gandhinagar,Materials Engineering,4 Years,B.Tech,ST,Gender-Neutral,1233,1319
1597,2022,IIT-Gandhinagar,Mechanical Engineering,4 Years,B.Tech,GEN,Gender-Neutral,5303,7223
1598,2022,IIT-Gandhinagar,Mechanical Engineering,4 Years,B.Tech,GEN,Female-Only,10316,12243
1599,2022,IIT-Gandhinagar,Mechanical Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1136,1348
1600,2022,IIT-Gandhinagar,Mechanical Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,2745,2745
1601,2022,IIT-Gandhinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,Gender-Neutral,1201,1366
1602,2022,IIT-Gandhinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,Female-Only,3000,3277
1603,2022,IIT-Gandhinagar,Mechanical Engineering,4 Years,B.Tech,SC,Gender-Neutral,1540,1800
1604,2022,IIT-Gandhinagar,Mechanical Engineering,4 Years,B.Tech,SC,Female-Only,2781,3148
1605,2022,IIT-Gandhinagar,Mechanical Engineering,4 Years,B.Tech,ST,Gender-Neutral,731,895
1606,2022,IIT-Patna,Artificial Intelligence and Data Science,4 Years,B.Tech,GEN,Gender-Neutral,3026,3702
1607,2022,IIT-Patna,Artificial Intelligence and Data Science,4 Years,B.Tech,GEN,Female-Only,6715,8195
1608,2022,IIT-Patna,Artificial Intelligence and Data Science,4 Years,B.Tech,GEN-EWS,Gender-Neutral,458,492
1609,2022,IIT-Patna,Artificial Intelligence and Data Science,4 Years,B.Tech,GEN-EWS,Female-Only,1253,1253
1610,2022,IIT-Patna,Artificial Intelligence and Data Science,4 Years,B.Tech,OBC-NCL,Gender-Neutral,1065,1406
1611,2022,IIT-Patna,Artificial Intelligence and Data Science,4 Years,B.Tech,OBC-NCL,Female-Only,3148,3447
1612,2022,IIT-Patna,Artificial Intelligence and Data Science,4 Years,B.Tech,OBC-NCL-PWD,Gender-Neutral,55 - P,55 - P
1613,2022,IIT-Patna,Artificial Intelligence and Data Science,4 Years,B.Tech,SC,Gender-Neutral,649,705
1614,2022,IIT-Patna,Artificial Intelligence and Data Science,4 Years,B.Tech,SC,Female-Only,1287,1287
1615,2022,IIT-Patna,Artificial Intelligence and Data Science,4 Years,B.Tech,ST,Gender-Neutral,327,455
1616,2022,IIT-Patna,Chemical Engineering,4 Years,B.Tech,GEN,Gender-Neutral,11094,12874
1617,2022,IIT-Patna,Chemical Engineering,4 Years,B.Tech,GEN,Female-Only,18286,20164
1618,2022,IIT-Patna,Chemical Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1772,2099
1619,2022,IIT-Patna,Chemical Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,3023,3023
1620,2022,IIT-Patna,Chemical Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,3932,4722
1621,2022,IIT-Patna,Chemical Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,7909,8166
1622,2022,IIT-Patna,Chemical Engineering,4 Years,B.Tech,SC,Gender-Neutral,2141,2592
1623,2022,IIT-Patna,Chemical Engineering,4 Years,B.Tech,SC,Female-Only,3262,3358
1624,2022,IIT-Patna,Chemical Engineering,4 Years,B.Tech,ST,Gender-Neutral,1091,1195
1625,2022,IIT-Patna,Chemical Engineering,4 Years,B.Tech,ST,Female-Only,1418,1418
1626,2022,IIT-Patna,Civil Engineering,4 Years,B.Tech,GEN,Gender-Neutral,11417,13741
1627,2022,IIT-Patna,Civil Engineering,4 Years,B.Tech,GEN,Female-Only,20691,21802
1628,2022,IIT-Patna,Civil Engineering,4 Years,B.Tech,GEN-PWD,Gender-Neutral,189 - P,189 - P
1629,2022,IIT-Patna,Civil Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1898,2170
1630,2022,IIT-Patna,Civil Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,3231,3231
1631,2022,IIT-Patna,Civil Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,3699,4715
1632,2022,IIT-Patna,Civil Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,7614,8109
1633,2022,IIT-Patna,Civil Engineering,4 Years,B.Tech,SC,Gender-Neutral,1989,2365
1634,2022,IIT-Patna,Civil Engineering,4 Years,B.Tech,SC,Female-Only,3367,3394
1635,2022,IIT-Patna,Civil Engineering,4 Years,B.Tech,ST,Gender-Neutral,766,941
1636,2022,IIT-Patna,Civil Engineering,4 Years,B.Tech,ST,Female-Only,1317,1317
1637,2022,IIT-Patna,Computer Science and Engineering,4 Years,B.Tech,GEN,Gender-Neutral,1491,2685
1638,2022,IIT-Patna,Computer Science and Engineering,4 Years,B.Tech,GEN,Female-Only,4458,6130
